Ethnicity,Geographical-union Name
Alaskan Native,Capital
Alaskan Native,Empire
Alaskan Native,Empire
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Capital
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Eastern Pennsylvania
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,Empire
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
Asian,New England
